speech_id,speech_url,speech_duration,speech_keyword,speech_date_start,speech_date_end,speech_agenda_item_title,main_speaker,main_speaker_party,main_speaker_faction,speech_negative_duration,speech_negative_percentage,speech_neutral_duration,speech_neutral_percentage,speech_positive_duration,speech_positive_percentage
ID201308100,https://de.openparliament.tv/api/v1/media/DE-0200013020,247,Covid,2022-01-26T15:18:34,2022-01-26T15:22:41,Tagesordnungspunkt 3,Matthias W. Birkwald,DIE LINKE,DIE LINKE,58.120000000000005,0.25216938562998964,161.28,0.6997570288094412,11.079999999999984,0.048073585560569176
ID201407200,https://de.openparliament.tv/api/v1/media/DE-0200014088,162,Covid,2022-01-27T16:52:30,2022-01-27T16:55:12,Tagesordnungspunkt 8,Ates Gürpinar,DIE LINKE,DIE LINKE,35.42000000000001,0.25099206349206354,101.36,0.7182539682539683,4.34,0.030753968253968252
ID207707100,https://de.openparliament.tv/api/v1/media/DE-0200077085,316,Covid,2022-12-16T14:26:59+01:00,2022-12-16T14:32:15+01:00,Zusatzpunkt 17,Kathrin Vogler,SPD,DIE LINKE,67.26,0.22013484322838253,238.28000000000003,0.7798651567716175,0.0,0.0
ID205104500,https://de.openparliament.tv/api/v1/media/DE-0200051050,216,Covid,2022-09-08T10:38:30,2022-09-08T10:42:06,Einzelplan 15,Linda Heitmann,GRÜNE,DIE GRÜNEN,23.32,0.10846511627906977,177.52,0.8256744186046512,14.159999999999991,0.06586046511627903
ID207704500,https://de.openparliament.tv/api/v1/media/DE-0200077053,219,Covid,2022-12-16T12:28:51+01:00,2022-12-16T12:32:30+01:00,Zusatzpunkt 13,Linda Heitmann,GRÜNE,DIE GRÜNEN,14.840000000000003,0.0706128663875143,183.32,0.8722877807384849,12.0,0.05709935287400076
ID204610500,https://de.openparliament.tv/api/v1/media/DE-0200046078,175,Covid,2022-07-06T19:45:11+02:00,2022-07-06T19:48:06+02:00,Zusatzpunkt 3,Saskia Weishaupt,GRÜNE,DIE GRÜNEN,17.34,0.10503998061545916,143.48000000000002,0.8691543494063485,4.260000000000001,0.025805669978192395
ID204611000,https://de.openparliament.tv/api/v1/media/DE-0200046083,224,Covid,2022-07-06T20:05:26+02:00,2022-07-06T20:09:10+02:00,Zusatzpunkt 3,Armin Grau,GRÜNE,DIE GRÜNEN,32.48,0.15871774824081314,171.4,0.8375684128225177,0.7599999999999909,0.003713838936669229
ID207703900,https://de.openparliament.tv/api/v1/media/DE-0200077047,234,Covid,2022-12-16T12:04:29+01:00,2022-12-16T12:08:23+01:00,Zusatzpunkt 13,Armin Grau,GRÜNE,DIE GRÜNEN,1.2799999999999998,0.00560518479593624,224.12,0.9814328253634612,2.960000000000008,0.012961989840602591
ID202802400,https://de.openparliament.tv/api/v1/media/DE-0200028027,181,Covid,2022-04-07T08:57:43,2022-04-07T09:00:44,Tagesordnungspunkt 6,Johannes Huber,AfD,fraktionslos,11.44,0.07153576788394198,147.28,0.9209604802401201,1.1999999999999886,0.007503751875937898
ID206105300,https://de.openparliament.tv/api/v1/media/DE-0200061064,165,Covid,2022-10-14T13:17:38+02:00,2022-10-14T13:20:23+02:00,Tagesordnungspunkt 28,Robert Farle,AfD,fraktionslos,16.94,0.10909325090159712,133.94,0.8625708397733127,4.400000000000006,0.028335909325090197
ID201309900,https://de.openparliament.tv/api/v1/media/DE-0200013038,142,Covid,2022-01-26T16:45:59,2022-01-26T16:48:21,Tagesordnungspunkt 3,Johannes Huber,AfD,fraktionslos,7.84,0.061002178649237467,115.08,0.8954248366013071,5.6000000000000085,0.0435729847494554
ID207004700,https://de.openparliament.tv/api/v1/media/DE-0200070051,265,Covid,2022-11-24T12:45:30+01:00,2022-11-24T12:49:55+01:00,Einzelplan 15,Robert Farle,AfD,fraktionslos,30.660000000000004,0.12677803506450547,211.18,0.8732219649354945,0.0,0.0
