main_speaker_party,total_duration,duration_positive,duration_neutral,duration_negative,percentage_positive,percentage_neutral,percentage_negative,category
AfD,1423.9,43.84,1212.1799999999998,167.8800000000001,0.03078867898026547,0.8513097829903784,0.11790153802935606,Ausländer
CDU,927.6,18.840000000000032,856.24,52.51999999999998,0.02031047865459253,0.9230702889176369,0.05661923242777057,Ausländer
CSU,336.44,7.759999999999996,318.84,9.840000000000003,0.02306503388419925,0.9476875520152181,0.02924741410058258,Ausländer
DIE LINKE,435.53999999999996,5.199999999999987,362.55999999999995,67.78,0.011939201910272276,0.8324378931900629,0.1556229048996648,Ausländer
GRÜNE,323.32,6.879999999999985,305.76000000000005,10.680000000000003,0.021279228009402403,0.9456884819992579,0.03303228999133986,Ausländer
SPD,814.9200000000001,46.219999999999985,701.02,67.68000000000006,0.056717223776567,0.8602316791832326,0.08305109704020033,Ausländer
parteilos,302.84,0.5199999999999818,294.56,7.76,0.0017170783251881582,0.97265882974508,0.025624091929731873,Ausländer
unknown,0.0,0.0,0.0,0.0,,,,Ausländer
