,Column Labels,,,,,,,,
Values,AfD,CDU,CSU,DIE LINKE,GRÜNE,parteilos,SPD,unknown,Grand Total
Sum of duration_neutral,1212.18,856.24,318.84,362.56,305.76,294.56,701.02,0,4051.16
Sum of duration_negative,167.88,52.52,9.84,67.78,10.68,7.76,67.68,0,384.14
Sum of duration_postive,43.84,18.84,7.76,5.2,6.88,0.52,46.22,0,129.26
Sum of total_duration,1423.9,927.6,336.44,435.54,323.32,302.84,814.92,0,4564.56
Total % Neutral,0.851309783,0.923070289,0.947687552,0.832437893,0.945688482,0.97265883,0.860231679,,
Total % Negative,0.117901538,0.056619232,0.029247414,0.155622905,0.03303229,0.025624092,0.083051097,,
Total % Positive,0.030788679,0.020310479,0.023065034,0.011939202,0.021279228,0.001717078,0.056717224,,
